No,samplingRate,deviceModel,accelerometerTimestamp,accelerometerTimeSinceBoot,rawAccelerationX,rawAccelerationY,rawAccelerationZ
1,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.3521796251,-0.0197906494140625,0.0064544677734375,-0.958221435546875
2,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.3622416251,0.01788330078125,-0.0153350830078125,-1.0485076904296875
3,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.372303625,0.03973388671875,-0.0253753662109375,-1.0751495361328125
4,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.372303625,0.03973388671875,-0.0253753662109375,-1.0751495361328125
5,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.382365625,0.042938232421875,-0.0277099609375,-1.07049560546875
6,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.382365625,0.042938232421875,-0.0277099609375,-1.07049560546875
7,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.392427625,0.0267486572265625,-0.01971435546875,-1.04290771484375
8,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.402489625,0.0046539306640625,-0.009307861328125,-0.9894561767578125
9,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.402489625,0.0046539306640625,-0.009307861328125,-0.9894561767578125
10,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.412552625,-0.0283966064453125,0.0101776123046875,-0.875335693359375
11,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4226146251,-0.0209808349609375,0.007843017578125,-0.908538818359375
12,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4226146251,-0.0209808349609375,0.007843017578125,-0.908538818359375
13,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4326766251,0.010955810546875,-0.006866455078125,-1.02789306640625
14,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4326766251,0.010955810546875,-0.006866455078125,-1.02789306640625
15,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.442738625,0.024078369140625,-0.0087738037109375,-1.0498199462890625
16,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.452800625,0.0365447998046875,-0.0115966796875,-1.0760345458984375
17,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.452800625,0.0365447998046875,-0.0115966796875,-1.0760345458984375
18,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.462862625,0.023193359375,-0.002777099609375,-1.0423126220703125
19,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.472925625,0.006591796875,0.00421142578125,-1.0075225830078125
20,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.472925625,0.006591796875,0.00421142578125,-1.0075225830078125
21,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4829876251,-0.0185546875,0.014678955078125,-0.9431304931640625
22,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4829876251,-0.0185546875,0.014678955078125,-0.9431304931640625
23,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.4930496251,-0.038330078125,0.0183868408203125,-0.8809661865234375
24,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.5031116251,-0.00994873046875,-0.002532958984375,-1.001434326171875
25,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.5031116251,-0.00994873046875,-0.002532958984375,-1.001434326171875
26,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.513173625,0.0032501220703125,-0.0150909423828125,-1.030029296875
27,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.523235625,0.015167236328125,-0.0230560302734375,-1.04302978515625
28,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.523235625,0.015167236328125,-0.0230560302734375,-1.04302978515625
29,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.533298625,0.0247955322265625,-0.029022216796875,-1.0493316650390625
30,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.543360625,0.023193359375,-0.027313232421875,-1.0209503173828125
31,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.543360625,0.023193359375,-0.027313232421875,-1.0209503173828125
32,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.5534226251,0.0201263427734375,-0.022064208984375,-1.0056304931640625
33,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.5534226251,0.0201263427734375,-0.022064208984375,-1.0056304931640625
34,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.5634846251,0.00634765625,-0.0086822509765625,-0.9640045166015625
35,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.573546625,-0.0068206787109375,0.0030364990234375,-0.9258575439453125
36,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.573546625,-0.0068206787109375,0.0030364990234375,-0.9258575439453125
37,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.583608625,-0.001068115234375,0.0042266845703125,-0.973907470703125
38,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.593671625,0.0036468505859375,0.0061187744140625,-1.015716552734375
39,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.593671625,0.0036468505859375,0.0061187744140625,-1.015716552734375
40,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.603733625,0.0043182373046875,0.00775146484375,-1.030792236328125
41,200.0,"iPhone11,2",2022-07-28 17:40:33 +0000,539336.603733625,0.0043182373046875,0.00775146484375,-1.030792236328125
