QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:		
Sample Rate:	200	 Hz	
Measurement Type	Time Waveform	Time Waveform	Time Waveform	
Channel Name	DT9857E-16(00).Ain 1	DT9857E-16(00).Ain 2	DT9857E-16(00).Ain 3	
X Axis Units	Sec	Sec	Sec	
Y Axis Units	g	g	g	
Seconds	Real	Real	Real	
 0.4400000000	 6.80685E-004	 0.0015890598	 0.0014114380	
 0.4450000000	 6.73532E-004	 0.0015234947	 0.0013208389	
 0.4500000000	 4.44651E-004	 0.0017905235	 0.0014805794	
 0.4550000000	 9.08375E-004	 0.0018072128	 0.0014889240	
 0.4600000000	 9.85861E-004	 0.0017488003	 0.0016784668	
 0.4650000000	 0.0011742115	 0.0016343594	 0.0015866756	
 0.4700000000	 4.68493E-004	 0.0020396709	 0.0010049343	
 0.4750000000	 4.81606E-004	 0.0017547607	 0.0012993813	
 0.4800000000	 6.80685E-004	 0.0013017654	 0.0019335747	
 0.4850000000	 7.92742E-004	 0.0015091896	 0.0014591217	
 0.4900000000	 7.23600E-004	 0.0020062923	 0.0014042854	
 0.4950000000	 5.20945E-004	 0.0019085407	 8.66652E-004	
 0.5000000000	 0.0012362003	 0.0013482571	 0.0012600422	
 0.5050000000	 8.73804E-004	 0.0016593933	 0.0017118454	
 0.5100000000	 8.09431E-004	 0.0017273426	 0.0012159348	
 0.5150000000	 2.56300E-004	 0.0018084049	 0.0012099743	
 0.5200000000	 4.75645E-004	 0.0017023087	 0.0012803078	
 0.5250000000	 8.96454E-004	 0.0013697147	 0.0016760826	
 0.5300000000	 5.81741E-004	 0.0016629696	 0.0012552738	
 0.5350000000	 0.0010228157	 0.0018417835	 0.0010597706	
 0.5400000000	 3.75509E-004	 0.0018382072	 9.91821E-004	
 0.5450000000	 0.0010371208	 0.0013768673	 0.0013887882	
 0.5500000000	 8.64267E-004	 0.0012302399	 0.0017023087	
 0.5550000000	 2.84910E-004	 0.0020551682	 0.0014328957	
 0.5600000000	 8.49962E-004	 0.0019454956	 0.0010752678	
 0.5650000000	 5.42402E-004	 0.0013363361	 0.0014770031	
 0.5700000000	 0.0011909008	 0.0013017654	 0.0015461445	
 0.5750000000	 6.90222E-004	 0.0020110607	 0.0012016296	
 0.5800000000	 3.38554E-004	 0.0018060207	 0.0011873245	
 0.5850000000	 9.54866E-004	 0.0016653538	 0.0013184547	
 0.5900000000	 8.89301E-004	 0.0015521049	 0.0020349026	
 0.5950000000	 7.78437E-004	 0.0014126301	 0.0011539459	
 0.6000000000	 7.02143E-004	 0.0018668175	 0.0010824203	
 0.6050000000	 0.0010108948	 0.0019192696	 0.0014019012	
 0.6100000000	 9.85861E-004	 0.0015032291	 0.0015366077	
 0.6150000000	 9.02414E-004	 0.0014698505	 0.0017380714	
 0.6200000000	 6.81877E-004	 0.0017642975	 0.0013434887	
 0.6250000000	 5.44786E-004	 0.0018143654	 0.0014340878	
 0.6300000000	 9.77516E-004	 0.0018405914	 0.0016152859	
 0.6350000000	 0.0011050701	 0.0014710426	 0.0015401840	
 0.6400000000	 7.59363E-004	 0.0016093254	 0.0013172626	
 0.6450000000	 7.71284E-004	 0.0021731853	 0.0010585785	
 0.6500000000	 7.05719E-004	 0.0016379356	 0.0014495850	
 0.6550000000	 5.88894E-004	 0.0012743473	 0.0016701221	
 0.6600000000	 9.45330E-004	 0.0016391277	 0.0015079975	
 0.6650000000	 5.90086E-004	 0.0018131733	 0.0015997887	
 0.6700000000	 4.89950E-004	 0.0018739700	 8.78572E-004	
 0.6750000000	 0.0010228157	 0.0017440319	 0.0015091896	
 0.6800000000	 0.0011396408	 0.0013494492	 0.0020873547	
 0.6850000000	 7.09295E-004	 0.0015795231	 0.0012016296	
 0.6900000000	 6.41346E-004	 0.0018703938	 0.0014781952	
 0.6950000000	 4.89950E-004	 0.0019466877	 0.0014615059	
 0.7000000000	 9.76324E-004	 0.0013482571	 0.0015711784	
 0.7050000000	 9.51290E-004	 0.0012445450	 0.0016784668	
 0.7100000000	 7.40290E-004	 0.0016188622	 0.0012362003	
 0.7150000000	 5.51939E-004	 0.0021004677	 0.0011706352	
 0.7200000000	 8.16584E-004	 0.0015175343	 0.0016260147	
 0.7250000000	 6.71148E-004	 0.0011384487	 0.0018453598	
 0.7300000000	 6.66380E-004	 0.0018215179	 0.0016200542	
 0.7350000000	 7.24792E-004	 0.0018191338	 9.52482E-004	
 0.7400000000	 5.23329E-004	 0.0014245510	 0.0011706352	
 0.7450000000	 0.0012123585	 0.0015115738	 0.0014972687	
